id,Name,kcal,Protein,Fat,Carbohydrates
150,White sauce,70.91,1.04,5.26,5.18
151,Garlic sauce,60.84,2.71,0.23,11.82
152,Milk sauce,141.14,3.16,9.46,11.23
153,Red sauce,180.71,1.94,13.77,12.86
154,Onion sauce,120.98,1.61,5.35,18.41
155,Butter,660,0.8,72.5,1.1
156,Lard,896,0.2,99.5,0
157,Olive oil,883,0.1,99.5,0.2
158,Corn oil,884,0.1,99.7,0.1
159,Rapeseed oil,884,0.1,99.8,0.1
160,Sunflower oil,884,0.1,99.8,0.1
161,Soyabean oil,885,0.1,99.8,0.1
162,Veal,104,19.6,2.7,0.3
163,Roebuck,100,21.8,1.4,0
164,Poppy seeds,517,19.9,46.7,24.7
165,Cashewnut,585,15.8,46.3,30.5
166,Walnut,655,18.5,60.4,14.6
167,Coconut,362,4.5,35.3,15.2
168,Coconut flakes,615,5.7,63,27
169,Hazelnut,658,17.6,63.2,14.9
170,Almonds,580,20,52,20.5
171,Pistachio nut,610,20.5,48.5,27.6
172,Sunflower seeds,611,22.5,49,21.5
173,Sesame seeds,597,22,53.2,14.9
174,Flaxseed,414,23.4,31,34
175,Peanut,569,19.2,46.1,19.2
176,Ice-cream,125,4.2,2.1,18.1
